SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
fn18313101034663,10005amalt,784101,09/11/18 06:10,09/11/18 06:10,09/11/18 10:10,7006,1813635102213660,10.45.0.129, ,1,09/11/18 10:10,
su18283023053157,10005amalt,784101,10/10/18 10:30,10/10/18 10:30,10/10/18 14:30,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:30,
qo18283023104886,10005amalt,784101,10/10/18 10:31,10/10/18 10:31,10/10/18 14:31,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:31,
dt18283023719984,10005amalt,784101,10/10/18 10:37,10/10/18 10:37,10/10/18 14:37,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:37,
km18283023859396,10005amalt,784101,10/10/18 10:38,10/10/18 10:38,10/10/18 14:38,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:38,
gf18283023902574,10005amalt,784101,10/10/18 10:39,10/10/18 10:39,10/10/18 14:39,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:39,
my18283023959675,10005amalt,784101,10/10/18 10:39,10/10/18 10:39,10/10/18 14:39,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:39,
yg18283024019295,10005amalt,784101,10/10/18 10:40,10/10/18 10:40,10/10/18 14:40,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:40,
ul18283024029314,10005amalt,784101,10/10/18 10:40,10/10/18 10:40,10/10/18 14:40,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:40,
re18283024117643,10005amalt,784101,10/10/18 10:41,10/10/18 10:41,10/10/18 14:41,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:41,
ib18283024119296,10005amalt,784101,10/10/18 10:41,10/10/18 10:41,10/10/18 14:41,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:41,
hr18283024125056,10005amalt,784101,10/10/18 10:41,10/10/18 10:41,10/10/18 14:41,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:41,
wi18283024217544,10005amalt,784101,10/10/18 10:42,10/10/18 10:42,10/10/18 14:42,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:42,
cl18283024226902,10005amalt,784101,10/10/18 10:42,10/10/18 10:42,10/10/18 14:42,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:42,
wg18283024622051,10005amalt,784101,10/10/18 10:46,10/10/18 10:46,10/10/18 14:46,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:46,
vu18283024641335,10005amalt,784101,10/10/18 10:46,10/10/18 10:46,10/10/18 14:46,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:46,
ck18283024652258,10005amalt,784101,10/10/18 10:46,10/10/18 10:46,10/10/18 14:46,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:46,
om18283024710771,10005amalt,784101,10/10/18 10:47,10/10/18 10:47,10/10/18 14:47,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:47,
ge18283024723784,10005amalt,784101,10/10/18 10:47,10/10/18 10:47,10/10/18 14:47,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:47,
eo18283024737555,10005amalt,784101,10/10/18 10:47,10/10/18 10:47,10/10/18 14:47,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:47,
qv18283024855244,10005amalt,784101,10/10/18 10:48,10/10/18 10:48,10/10/18 14:48,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:48,
yf18283024919311,10005amalt,784101,10/10/18 10:49,10/10/18 10:49,10/10/18 14:49,7006,1883320321046120,10.45.0.210, ,1,10/10/18 14:49,
qa18283042053457,10005amalt,784101,10/10/18 12:20,10/10/18 12:20,10/10/18 16:20,7006,1883913102152890,10.45.0.210, ,1,10/10/18 16:20,
